group,api_route,tool,order,command,input_type,default_value,description_core,description_api,core_visible,core_required,api_enabled,api_required,api_visible,api_alias,core_alias
tools,receipts,getReceipt,,trans_list,flag,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,receipts,getReceipt,,articulate,flag,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,receipts,getReceipt,,logs,flag,,display the receipt's logs,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,receipts,getReceipt,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,receipts,getReceipt,,,,,Retrieve a transaction's receipt from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,block_list,flag,,a space-separated list of one or more blocks to retrieve,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,blocks,getBlock,,hash_only,flag,,"display only transaction hashes, default is to display full transaction detail",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,check,flag,,"compare results between qblocks and Ethereum node, report differences, if any",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,addrs,flag,,display all addresses included in the block,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,uniq,flag,,display only uniq addresses found per block,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,uniqTx,flag,,display only uniq addresses found per transaction,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,number,flag,,"display address counts (alterntively --addrCnt, --uniqTxCnt, or --uniqCnt)",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,filter,<addr>,,"useful only for --addrs or --uniq, only display this address in results",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,blocks,getBlock,,latest,flag,,display the latest blocks at both the node and the cache,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,force,flag,,force a re-write of the block to the cache,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,quiet,flag,,"do not print results to screen, used for speed testing and data checking",,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,source,[c|r],,"either :c(a)che or :(r)aw, source for data retrival. (shortcuts -c = qblocks, -r = node)",,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,fields,[a|m|c|r],,"either :(a)ll, (m)ini, (c)ache or :(r)aw; which fields to include in output (all is default)",,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,normalize,flag,,normalize (remove un-common fields and sort) for comparison with other results (testing),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,blocks,getBlock,,,,,Returns block(s) from local cache or directly from a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,transactions,getTrans,,trans_list,flag,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,transactions,getTrans,,articulate,flag,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,transactions,getTrans,,trace,flag,,display the transaction's trace,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,transactions,getTrans,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,transactions,getTrans,,,,,Retrieve an Ethereum transaction from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,state,getState,,addr_list,flag,,one or more addresses (0x...) from which to retrieve balances,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,state,getState,,block_list,flag,,"an optional list of one or more blocks at which to report balances, defaults to 'latest'",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,state,getState,,mode,<val>,,control which state to export. One of [none|some|all|balance|nonce|code|storage|deployed|accttype],,TRUE,FALSE,TRUE,FALSE,TRUE,,
